CID_1,CID_2,MCC,TC,Kendall,Kendall_class,DACS,random_similarity
CIDs56677003,CIDs00148195,-0.0003,0.230769,0.0,0.0,0.2307691950001126,0.9476489329988268
CIDs56677003,CIDs00003461,-0.0001,0.163347,-1.0,-1.0,0.1633470306096808,0.92105576357915
CIDs56677003,CIDs49867930,-0.0003,0.238281,0.0,0.0,0.2382811888525823,0.8649469687694634
CIDs56677003,CIDs00004261,-0.0007,0.262673,0.0,0.0,0.2626739327169713,0.1227180283182541
CIDs56677003,CIDs00005311,0.0447,0.171717,-0.4666666666666666,-1.0,0.1774396181493862,0.3230656721361267
CIDs56677003,CIDs11955716,-0.0002,0.187215,0.6,1.0,0.1872151068290163,0.6070087170145385
CIDs56677003,CIDs49800198,-0.0001,0.203065,0.0666666666666666,1.0,0.2030650246226562,0.1378160219800686
CIDs56677003,CIDs76317450,-0.0001,0.216535,0.0,0.0,0.216535023090954,0.506117024539416
CIDs56677003,CIDs25227436,-0.0003,0.292181,0.2,1.0,0.2921811540140808,0.6653796039236674
CIDs56677003,CIDs24964624,0.1082,0.331897,1.0,1.0,0.3490886113997419,0.6352346223283879
CIDs56677003,CIDs00148177,0.122,0.0904762,0.0,0.0,0.1518879283104487,0.7738446195699968
CIDs56677003,CIDs00093860,-0.0003,0.253112,0.0,0.0,0.2531121777868461,0.5128503807115051
CIDs56677003,CIDs11556711,-0.0004,0.196653,0.0666666666666666,1.0,0.1966534068075099,0.9692079668124092
CIDs56677003,CIDs25071599,-0.0001,0.278027,0.0,0.0,0.2780270179838643,0.9107307854602772
CIDs56677003,CIDs90667118,-0.0001,0.336207,0.0,0.0,0.33620701487179,0.6584426234313305
CIDs56677003,CIDs00104842,-0.0008,0.277955,0.0,0.0,0.2779561512631084,0.6826797988884702
CIDs56677003,CIDs10302451,0.1064,0.374486,0.0,0.0,0.3893080068480482,0.1532771348203732
CIDs56677003,CIDs11213558,0.062,0.4,-1.0,-1.0,0.4047764815302391,0.5606962324789236
